""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"99854","198910","ABC","101","1","0 - 4.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Perry, Diego D.","Lecture","MWF","9:00 AM - 9:50 AM","LH1","110"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","106493344","Wright","Naomi","UG","0","SR","OT11","","RE","naomi.i.wright@fakeu.edu"
"2","468819320","Hess","Isaiah","UG","0","SR","OT12","","RE","isaiah.z.hess@fakeu.edu"
"3","540587819","Hansen","Olivia","UG","0","SR","OT13","","RE","olivia.l.hansen@fakeu.edu"
"4","362396301","West","Elijah","UG","0","JR","OT16","","RE","elijah.r.west@fakeu.edu"
"5","500818153","Guzman","Jordan","UG","0","SO","OT18","","RE","jordan.j.guzman@fakeu.edu"
"6","826505045","Knight","Victor","UG","0","FR","OT15","","RE","victor.a.knight@fakeu.edu"
"7","246651875","Holmes","Julia","UG","0","SO","OT12","","RE","julia.y.holmes@fakeu.edu"
"8","231308527","Collier","David","UG","0","JR","OT19","","RE","david.j.collier@fakeu.edu"
"9","873327528","Smith","Nathan","UG","0","SO","ABC2","","RE","nathan.c.smith@fakeu.edu"
"10","442118470","Swanson","Benjamin","UG","0","SO","OT24","","RE","benjamin.g.swanson@fakeu.edu"
"11","347730507","Gilbert","Noah","UG","0","SO","OT12","","RE","noah.d.gilbert@fakeu.edu"
"12","241237682","Underwood","Julian","UG","0","JR","OTH8","","RE","julian.a.underwood@fakeu.edu"
"13","127317703","White","Matthew","UG","0","SO","OT12","","RE","matthew.e.white@fakeu.edu"
"14","710024071","Santos","Eli","UG","0","FR","OT25","","RE","eli.b.santos@fakeu.edu"
"15","108721749","Meyers","Jacob","UG","0","JR","OT14","","RE","jacob.x.meyers@fakeu.edu"
"16","237225675","Jackson","Lucas","UG","0","SO","OT26","","RE","lucas.j.jackson@fakeu.edu"
"17","527491189","Travis","Santiago","UG","0","FR","OTH8","","RE","santiago.m.travis@fakeu.edu"
"18","198454426","Crawford","Savannah","UG","0","SO","OT26","","RE","savannah.d.crawford@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"34911","198910","ABC","101","7","0 - 4.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Discussion","R","8:00 AM - 8:50 AM","LH1","142"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","709875008","Todd","Amelia","UG","0","FR","OT23","","RE","amelia.d.todd@fakeu.edu"
"2","262654158","Mcleod","Angel","UG","0","JR","OT15","","RE","angel.g.mcleod@fakeu.edu"
"3","293668524","Ellis","Jason","UG","0","SO","OT12","","RE","jason.h.ellis@fakeu.edu"
"4","172045895","Reyes","Olivia","UG","0","FR","OT16","","RE","olivia.e.reyes@fakeu.edu"
"5","133065096","Green","Liam","UG","0","FR","OT26","","RE","liam.j.green@fakeu.edu"
"6","196227873","Hall","Mila","UG","0","JR","OT12","","RE","mila.a.hall@fakeu.edu"
"7","704574700","Martinez","Adrian","UG","0","JR","OT27","","RE","adrian.i.martinez@fakeu.edu"
"8","675940545","Sosa","Nicole","UG","0","JR","OT26","","RE","nicole.r.sosa@fakeu.edu"
"9","438982644","Robinson","Henry","UG","0","FR","OT26","","RE","henry.s.robinson@fakeu.edu"
"10","761926292","Washington","Liam","UG","0","SR","OT14","","RE","liam.d.washington@fakeu.edu"
"11","138824350","Hughes","Kimberly","UG","0","JR","OT12","","RE","kimberly.m.hughes@fakeu.edu"
"12","638021477","Smith","Gabriel","UG","0","JR","OT14","","RE","gabriel.k.smith@fakeu.edu"
"13","736310410","Sloan","Kevin","UG","0","FR","OTH3","","RE","kevin.j.sloan@fakeu.edu"
"14","100995418","Finch","Mia","UG","0","JR","OT12","","RE","mia.l.finch@fakeu.edu"
"15","619137377","Burgess","Eduardo","UG","0","FR","OT29","","RE","eduardo.e.burgess@fakeu.edu"
"16","425656451","Maddox","Angel","UG","0","FR","OT26","","RE","angel.a.maddox@fakeu.edu"
"17","875771767","Garner","Noah","UG","0","SO","OT30","","RE","noah.r.garner@fakeu.edu"
"18","707654125","Bentley","Evan","UG","0","FR","OT21","","RE","evan.l.bentley@fakeu.edu"
"19","859167575","Miller","Arianna","UG","0","JR","OTH9","","RE","arianna.z.miller@fakeu.edu"
"20","113801486","Henderson","Maya","UG","0","SO","OT20","","RE","maya.m.henderson@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"12525","198910","ABC","101","8","0 - 4.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"","Discussion","T","5:10 PM - 6:00 PM","MB2","1012"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","354671412","Odom","Miguel","UG","0","SR","OT14","","RE","miguel.d.odom@fakeu.edu"
"2","320316855","Huber","Alyssa","UG","0","SR","OT15","","RE","alyssa.j.huber@fakeu.edu"
"3","539888083","Briggs","Victor","UG","0","SR","OT15","","RE","victor.m.briggs@fakeu.edu"
"4","461597177","Mason","Jorge","UG","0","SO","OTH6","","RE","jorge.c.mason@fakeu.edu"
"5","483204606","Osborn","Chloe","UG","0","SO","OT17","","RE","chloe.b.osborn@fakeu.edu"
"6","195163830","Tran","Ayden","UG","0","SO","OT19","","RE","ayden.v.tran@fakeu.edu"
"7","171339648","Harris","Jesus","UG","0","SO","OT16","","RE","jesus.j.harris@fakeu.edu"
"8","520083349","Bowers","Austin","UG","0","FR","OT20","","RE","austin.u.bowers@fakeu.edu"
"9","732811320","May","Abigail","UG","0","FR","OT20","","RE","abigail.n.may@fakeu.edu"
"10","163425283","Bryant","Allison","UG","0","SO","OT13","","RE","allison.a.bryant@fakeu.edu"
"11","419178656","Hall","Christopher","UG","0","FR","OT21","","RE","christopher.a.hall@fakeu.edu"
"12","691276660","Keller","Sebastian","UG","0","SO","OT22","","RE","sebastian.l.keller@fakeu.edu"
"13","873035122","Jordan","Liam","UG","0","SO","OT22","","RE","liam.m.jordan@fakeu.edu"
"14","423035405","Nguyen","Valerie","UG","0","FR","OT15","","RE","valerie.a.nguyen@fakeu.edu"
"15","632811142","Cooper","Alyssa","UG","0","JR","OT28","","RE","alyssa.t.cooper@fakeu.edu"
"16","238375747","Hines","Luis","UG","0","SR","OTH8","","RE","luis.d.hines@fakeu.edu"
"17","663071819","Moreno","Jayden","UG","0","FR","OT15","","RE","jayden.a.moreno@fakeu.edu"
"18","488652976","Olson","Samuel","UG","0","FR","OTH8","","RE","samuel.a.olson@fakeu.edu"
"19","121020933","Barrett","Natalia","UG","0","FR","OT16","","RE","natalia.j.barrett@fakeu.edu"
"20","474698112","Simmons","Samuel","UG","0","JR","OT12","","RE","samuel.u.simmons@fakeu.edu"
""
"CID","TERM","SUBJ","CRSE","SEC","UNITS"
"72023","198910","ABC","101","21","0 - 4.000"
""
"INSTRUCTOR(S)","TYPE","DAYS","TIME","BUILD","ROOM"
"Oliver, Sebastian I.","Lecture","MWF","2:10 PM - 3:00 PM","LH1","110"
""
"SEAT","SID","SURNAME","PREFNAME","LEVEL","UNITS","CLASS","MAJOR","GRADE","STATUS","EMAIL"
"1","642298606","King","Isaiah","UG","4","FR","OT26","C+","RE","isaiah.j.king@fakeu.edu"
"2","902247617","Hatfield","Emma","UG","4","FR","OT12","C+","RE","emma.c.hatfield@fakeu.edu"
"3","353902539","Taylor","Sofia","UG","4","SO","OT15","A-","RE","sofia.a.taylor@fakeu.edu"
"4","263177320","Rose","Kylie","UG","4","JR","OT31","C+","RE","kylie.a.rose@fakeu.edu"
"5","100040294","Campbell","Jocelyn","UG","4","JR","OT14","B+","RE","jocelyn.m.campbell@fakeu.edu"
"6","839905382","Hall","Natalia","UG","4","SO","OT10","A","RE","natalia.i.hall@fakeu.edu"
"7","715798926","Reynolds","Jordan","UG","4","SO","OT15","A-","RE","jordan.a.reynolds@fakeu.edu"
"8","338067698","Wheeler","Andrea","UG","4","SO","OT27","A","RE","andrea.a.wheeler@fakeu.edu"
"9","705263518","Fitzgerald","Ian","UG","4","SO","OT32","A-","RE","ian.j.fitzgerald@fakeu.edu"
"10","660014699","Stevens","Jacob","UG","4","FR","OTH3","B-","RE","jacob.y.stevens@fakeu.edu"
"11","439955548","Ortega","Luis","UG","4","FR","OTH8","B-","RE","luis.j.ortega@fakeu.edu"
"12","939571813","Wilson","Ariana","UG","4","FR","OTH3","A-","RE","ariana.s.wilson@fakeu.edu"
"13","609877191","Berry","Luis","UG","4","FR","OT33","C","RE","luis.h.berry@fakeu.edu"
"14","220501336","Edwards","Emily","UG","4","FR","OT29","B+","RE","emily.a.edwards@fakeu.edu"
"15","779889596","Buckner","Alex","UG","4","SO","OT26","I","RE","alex.a.buckner@fakeu.edu"
"16","249697657","Mcfadden","Mia","UG","4","SO","OT29","C","RE","mia.a.mcfadden@fakeu.edu"
"17","777063470","Brown","Dylan","UG","4","JR","OT15","B","RE","dylan.v.brown@fakeu.edu"
"18","344084346","Saunders","Emma","UG","4","SO","OT27","B-","RE","emma.a.saunders@fakeu.edu"
"19","974321785","Stuart","Anthony","UG","4","SO","OT27","B+","RE","anthony.d.stuart@fakeu.edu"
"20","802762717","Stewart","Olivia","UG","4","FR","OT26","C+","RE","olivia.z.stewart@fakeu.edu"
"21","160422147","Sims","Jesse","UG","4","FR","OT29","C+","RE","jesse.j.sims@fakeu.edu"
"22","356560374","Greene","Eric","UG","4","FR","OT26","A","RE","eric.n.greene@fakeu.edu"
"23","308214118","Hall","Olivia","UG","4","SO","OTH7","F","RE","olivia.m.hall@fakeu.edu"
"24","253499662","Morse","Isabella","UG","4","FR","OTH8","I","RE","isabella.s.morse@fakeu.edu"
"25","224226532","Goodman","Xavier","UG","4","SO","OT27","B+","RE","xavier.l.goodman@fakeu.edu"
"26","178120701","Scott","Adam","UG","4","JR","OT24","A-","RE","adam.m.scott@fakeu.edu"
"27","891383692","Parrish","Mia","UG","4","FR","OT12","C-","RE","mia.i.parrish@fakeu.edu"
"28","429292274","Larson","Charlotte","UG","4","JR","OT24","B","RE","charlotte.i.larson@fakeu.edu"
"29","670645624","Turner","Jacob","UG","4","JR","OT17","C","RE","jacob.s.turner@fakeu.edu"
"30","861504568","Williams","Kevin","UG","4","SO","OT26","I","RE","kevin.s.williams@fakeu.edu"
"31","602732585","Allen","Aubrey","UG","4","SO","OT22","A","RE","aubrey.s.allen@fakeu.edu"
"32","189156081","Johnson","Andrea","UG","4","SO","OT26","B+","RE","andrea.l.johnson@fakeu.edu"
"33","673886880","Miller","Evelyn","UG","4","SO","OT33","B+","RE","evelyn.c.miller@fakeu.edu"
"34","872329859","Jackson","Caleb","UG","4","FR","OT16","A","RE","caleb.e.jackson@fakeu.edu"
"35","292098201","Johnson","Valerie","UG","4","FR","OT26","B","RE","valerie.l.johnson@fakeu.edu"
"36","393900138","Kramer","Naomi","UG","4","SO","OTH3","A-","RE","naomi.a.kramer@fakeu.edu"
"37","845701869","Russo","Emily","UG","4","SO","OT34","A-","RE","emily.b.russo@fakeu.edu"
"38","983252125","Brown","Hunter","UG","4","FR","OTH9","C-","RE","hunter.e.brown@fakeu.edu"
"39","490125160","Calhoun","Benjamin","UG","4","JR","OTH9","A-","RE","benjamin.d.calhoun@fakeu.edu"
"40","376856387","Gardner","Mia","UG","4","JR","OT17","A","RE","mia.a.gardner@fakeu.edu"
"41","414291074","Taylor","Matthew","UG","4","FR","OTH3","B+","RE","matthew.j.taylor@fakeu.edu"
"42","140362008","Jones","Luke","UG","4","FR","OTH8","C","RE","luke.e.jones@fakeu.edu"
"43","832267132","Harrison","Mia","UG","4","SO","OTH8","B+","RE","mia.g.harrison@fakeu.edu"
"44","472817290","Stone","Aaron","UG","4","SO","OTH3","B+","RE","aaron.l.stone@fakeu.edu"
"45","480223608","Lyons","Michael","UG","4","JR","OTH8","B+","RE","michael.a.lyons@fakeu.edu"
"46","833042384","Garcia","Alejandro","UG","4","FR","OT10","C","RE","alejandro.l.garcia@fakeu.edu"
"47","628217959","Johnson","Olivia","UG","4","SR","OTH9","C+","RE","olivia.j.johnson@fakeu.edu"
"48","938057407","Orr","Owen","UG","4","JR","OT12","B","RE","owen.e.orr@fakeu.edu"
"49","357371362","Wilson","Victor","UG","4","JR","OT17","NS","RE","victor.h.wilson@fakeu.edu"
"50","752851701","Hoover","Isaac","UG","4","FR","OTH8","B-","RE","isaac.q.hoover@fakeu.edu"
""
